age,tenure_months,num_products,is_active_member,balance,estimated_clv,txn_avg_90d,txn_count_30d,app_sessions_30d,days_since_last_txn,failed_txn_rate,num_complaints,num_unresolved,downtime_exposure,fraud_flag,monthly_fee,primary_channel,region_group,churn_probability,risk_band,expected_retention_value,reason_codes,recommended_action,decision,suppression_note,customer_id,churn_30d
44.0,40.0,1.0,1.0,145898.01,69855.54,11.7,4.0,8.0,9.0,0.125,1.0,0.0,0.0,0.0,0.0,App,Other,0.42016876082985477,Medium,5837.778919725088,"High failed-transaction rate (12.5%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000016,0
24.0,10.0,3.0,1.0,120453.47,24560.89,15.7,5.0,6.0,3.0,0.191,1.0,0.0,1.0,0.0,250.0,Branch,Lagos-Mainland,0.48559538655975726,Medium,1481.6637184504189,High failed-transaction rate (19.1%),Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000017,0
61.0,91.0,2.0,1.0,7238.64,96486.97,3.6,8.0,14.0,22.0,0.105,1.0,0.0,1.0,0.0,50.0,USSD,Lagos-Mainland,0.3120580204201675,Low,6027.383213635022,"High failed-transaction rate (10.5%), Inactivity (22 days since last txn)",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000018,0
41.0,90.0,3.0,0.0,165938.7,22306.1,15.3,8.0,6.0,8.0,,3.0,3.0,0.0,0.0,50.0,Internet,Other,0.9753296527529298,Critical,3938.9501918180313,Unresolved service issues (3 open),"Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000019,1
44.0,31.0,4.0,0.0,158036.31,112763.19,12.6,11.0,8.0,2.0,0.343,1.0,1.0,3.0,0.0,100.0,App,Lagos-Island,0.7670132136547136,Critical,20122.71418596427,"Unresolved service issues (1 open), High failed-transaction rate (34.3%), Downtime exposure (3 days)","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000020,0
37.0,35.0,3.0,1.0,71573.74,45470.65,14.6,4.0,8.0,34.0,0.064,1.0,1.0,2.0,0.0,500.0,Internet,Lagos-Island,0.9062600219657597,Critical,8802.058066949343,"Unresolved service issues (1 open), Inactivity (34 days since last txn)","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000021,0
27.0,38.0,1.0,1.0,135476.89,81571.5,19.0,4.0,7.0,12.0,0.207,0.0,0.0,2.0,0.0,0.0,App,Lagos-Mainland,0.5189084762063889,High,9082.035691717363,"High failed-transaction rate (20.7%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000022,0
66.0,106.0,3.0,0.0,167614.25,46008.77,7.1,10.0,13.0,4.0,0.048,0.0,0.0,0.0,0.0,100.0,USSD,Other,0.08243162177010502,Low,-551.8556183130614,Elevated risk pattern (review engagement/friction signals),Monitor: no contact unless risk persists next cycle,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000023,0
58.0,59.0,3.0,1.0,15871.32,214438.17,17.5,5.0,7.0,0.0,0.088,1.0,1.0,,0.0,500.0,App,Lagos-Mainland,0.5741556948545005,High,29280.224124919376,"Unresolved service issues (1 open), High failed-transaction rate (8.8%)","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000024,0
51.0,91.0,3.0,1.0,12696.95,117673.26,19.2,5.0,17.0,24.0,0.087,0.0,0.0,1.0,0.0,50.0,USSD,Lagos-Island,0.2549704157649702,Low,6000.800006654859,"High failed-transaction rate (8.7%), Inactivity (24 days since last txn)",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000025,0
38.0,54.0,1.0,1.0,155601.54,44216.41,3.9,6.0,9.0,15.0,0.102,0.0,0.0,1.0,0.0,250.0,Internet,Lagos-Island,0.33578814295468873,Low,2211.8365505057823,"High failed-transaction rate (10.2%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000026,0
60.0,84.0,1.0,1.0,119058.98,102972.32,11.0,9.0,8.0,0.0,0.158,0.0,0.0,2.0,0.0,100.0,App,Lagos-Mainland,0.1926752298759849,Low,3460.05385671587,"High failed-transaction rate (15.8%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000027,0
46.0,63.0,3.0,1.0,17370.53,38595.14,10.7,6.0,9.0,14.0,0.141,2.0,0.0,0.0,0.0,,Internet,Lagos-Island,0.4594397501202171,Medium,2933.035369363699,"Repeated complaints (2), High failed-transaction rate (14.1%)",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000028,0
41.0,34.0,1.0,1.0,21304.1,80780.36,19.9,4.0,7.0,18.0,0.152,0.0,0.0,1.0,0.0,100.0,App,Lagos-Mainland,0.47430235958766753,Medium,8078.578839085309,"High failed-transaction rate (15.2%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000029,0
41.0,105.0,1.0,0.0,237256.08,184983.76,35.1,11.0,13.0,5.0,0.377,1.0,0.0,2.0,0.0,100.0,App,Lagos-Island,0.6316370935385852,High,27710.6511295598,"High failed-transaction rate (37.7%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000030,0
29.0,85.0,1.0,1.0,133810.73,119023.23,,7.0,11.0,15.0,0.245,1.0,0.0,0.0,0.0,100.0,Agent,Lagos-Mainland,0.38167695576981653,Medium,9857.106023072674,"High failed-transaction rate (24.5%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000031,0
22.0,92.0,1.0,1.0,34243.86,47988.79,27.8,3.0,13.0,0.0,0.042,1.0,0.0,0.0,0.0,0.0,App,Lagos-Mainland,0.2603417313510317,Low,1623.3711685102694,Single-product relationship,"Needs-based review: suitability check, no automatic sale",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000032,0
46.0,113.0,1.0,0.0,177552.53,33935.12,6.3,6.0,7.0,1.0,0.106,0.0,0.0,2.0,0.0,100.0,Internet,Lagos-Island,0.29899626379419963,Low,1036.6185228519553,"High failed-transaction rate (10.6%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000033,0
64.0,30.0,4.0,1.0,17165.13,129388.42,13.9,10.0,13.0,1.0,0.163,1.0,0.0,0.0,0.0,500.0,App,Lagos-Mainland,0.1818513446778177,Low,4382.36454068456,High failed-transaction rate (16.3%),Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000034,0
21.0,11.0,3.0,1.0,10794.95,238312.57,9.8,5.0,13.0,4.0,0.281,0.0,0.0,1.0,0.0,50.0,USSD,Lagos-Mainland,0.22788003236747195,Low,12076.669041293857,High failed-transaction rate (28.1%),Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000035,0
62.0,70.0,3.0,1.0,46126.79,83875.39,13.2,6.0,,10.0,0.042,0.0,0.0,2.0,0.0,0.0,App,Lagos-Island,0.19535208577339852,Low,2596.308095389313,Elevated risk pattern (review engagement/friction signals),Monitor: no contact unless risk persists next cycle,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000036,0
61.0,39.0,1.0,1.0,148065.64,179481.31,14.8,9.0,9.0,1.0,0.191,1.0,1.0,0.0,0.0,100.0,Branch,,0.42885834701671477,Medium,17743.01448174864,"Unresolved service issues (1 open), High failed-transaction rate (19.1%), Single-product relationship","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000037,0
32.0,52.0,1.0,1.0,99252.78,120329.12,16.3,,9.0,33.0,0.247,1.0,1.0,2.0,0.0,100.0,App,Lagos-Mainland,0.9175420025276764,Critical,26101.75543179827,"Unresolved service issues (1 open), High failed-transaction rate (24.7%), Inactivity (33 days since last txn)","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000038,0
50.0,28.0,1.0,1.0,131410.09,128187.5,8.3,8.0,13.0,2.0,0.039,0.0,0.0,2.0,0.0,250.0,App,Lagos-Island,0.1763931404461097,Low,4152.848922733922,Single-product relationship,"Needs-based review: suitability check, no automatic sale",No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000039,0
26.0,48.0,1.0,0.0,121541.44,37896.82,9.3,2.0,11.0,35.0,0.092,0.0,0.0,2.0,1.0,0.0,Agent,Lagos-Island,0.7827805257767158,Critical,5916.223171216389,"High failed-transaction rate (9.2%), Inactivity (35 days since last txn), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000040,0
57.0,47.0,1.0,1.0,194762.74,80367.15,15.6,7.0,10.0,9.0,0.07,1.0,0.0,0.0,0.0,100.0,App,Lagos-Island,0.3100202068768562,Low,4728.8601172758335,Single-product relationship,"Needs-based review: suitability check, no automatic sale",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000041,0
54.0,42.0,2.0,1.0,110341.63,84167.68,12.2,8.0,10.0,2.0,0.141,0.0,0.0,1.0,0.0,50.0,App,Other,0.1609757715267192,Low,1887.2393064035032,High failed-transaction rate (14.1%),Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000042,0
36.0,89.0,4.0,0.0,87356.63,17304.69,6.7,8.0,11.0,6.0,0.149,1.0,1.0,2.0,1.0,0.0,Internet,Lagos-Island,0.7110043006356754,Critical,1575.9272527917915,"Unresolved service issues (1 open), High failed-transaction rate (14.9%)","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000043,0
21.0,71.0,2.0,0.0,33163.01,58206.8,9.4,4.0,6.0,5.0,0.028,0.0,0.0,0.0,0.0,0.0,USSD,Lagos-Island,0.19108612260236033,Low,1280.6279302727667,Elevated risk pattern (review engagement/friction signals),Monitor: no contact unless risk persists next cycle,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000044,0
68.0,57.0,1.0,1.0,114744.39,62790.31,18.2,7.0,9.0,26.0,0.055,1.0,0.0,0.0,0.0,50.0,App,Other,0.46573395569815135,Medium,5810.894863953297,"Inactivity (26 days since last txn), Single-product relationship",Re-engagement via App: usability nudge + low-friction check-in (suppress if opted out),FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000045,0
41.0,14.0,1.0,1.0,21377.41,47271.75,5.5,7.0,6.0,1.0,0.211,0.0,0.0,1.0,0.0,0.0,App,Lagos-Mainland,0.23027780691717276,Low,1221.4087297842152,"High failed-transaction rate (21.1%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000046,0
64.0,68.0,1.0,1.0,56626.19,78334.68,10.0,13.0,12.0,0.0,0.061,0.0,0.0,4.0,0.0,50.0,App,Lagos-Island,0.1226314472652556,Low,901.5737948651681,"Downtime exposure (4 days), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000047,0
53.0,21.0,1.0,1.0,88977.26,145293.56,4.3,9.0,14.0,4.0,0.216,1.0,0.0,3.0,0.0,50.0,App,Other,0.4016172054059679,Medium,13088.09838267108,"High failed-transaction rate (21.6%), Downtime exposure (3 days), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000048,0
58.0,38.0,2.0,,57496.8,147985.96,19.1,9.0,10.0,1.0,0.092,0.0,0.0,3.0,0.0,50.0,USSD,Lagos-Mainland,0.13423053722745237,Low,3466.0587282300694,"High failed-transaction rate (9.2%), Downtime exposure (3 days)",Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000049,0
57.0,50.0,1.0,1.0,162229.56,199318.94,36.1,7.0,13.0,8.0,0.123,1.0,0.0,0.0,0.0,50.0,App,Lagos-Mainland,0.3184870709344861,Low,14370.126345591643,"High failed-transaction rate (12.3%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000050,0
28.0,17.0,2.0,0.0,213078.07,161058.23,21.9,7.0,12.0,0.0,0.08,0.0,0.0,3.0,0.0,0.0,App,Lagos-Island,0.3035141549449735,Low,10720.863143845796,"High failed-transaction rate (8.0%), Downtime exposure (3 days)",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000051,0
36.0,47.0,3.0,0.0,222087.26,108108.37,7.4,7.0,10.0,5.0,0.095,1.0,0.0,1.0,0.0,0.0,USSD,Other,0.3008663023666585,Low,6631.541384196648,High failed-transaction rate (9.5%),Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000052,0
42.0,32.0,1.0,1.0,230411.48,203096.01,7.4,10.0,,8.0,0.121,0.0,0.0,3.0,0.0,50.0,Internet,Lagos-Island,0.2408275329625591,Low,10727.777760709809,"High failed-transaction rate (12.1%), Downtime exposure (3 days), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000053,0
43.0,102.0,1.0,1.0,132499.8,66146.06,18.5,13.0,8.0,7.0,0.161,0.0,0.0,0.0,0.0,50.0,Internet,Lagos-Mainland,0.11160055880195792,Low,345.4843146369592,"High failed-transaction rate (16.1%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000054,0
20.0,103.0,1.0,1.0,,89548.54,17.2,9.0,8.0,2.0,,1.0,0.0,1.0,0.0,250.0,App,Lagos-Island,0.31620759785278957,Low,5578.98218115611,Single-product relationship,"Needs-based review: suitability check, no automatic sale",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000055,0
46.0,1.0,1.0,1.0,133377.05,249375.14,23.7,7.0,11.0,0.0,,,0.0,1.0,0.0,50.0,App,Lagos-Island,0.18131954815908846,Low,9804.146926727357,Single-product relationship,"Needs-based review: suitability check, no automatic sale",No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000056,0
26.0,72.0,2.0,1.0,268460.18,64759.18,10.3,4.0,9.0,35.0,0.082,0.0,0.0,1.0,0.0,250.0,Internet,Other,0.6244841954884309,High,8610.271105697622,"High failed-transaction rate (8.2%), Inactivity (35 days since last txn)",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000057,0
56.0,77.0,3.0,1.0,42886.29,14756.41,5.0,7.0,9.0,11.0,0.079,0.0,0.0,3.0,1.0,100.0,USSD,Lagos-Mainland,0.3083978245801389,Low,-362.2888143468481,Downtime exposure (3 days),Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000058,0
53.0,45.0,3.0,1.0,93021.18,34540.9,10.5,7.0,6.0,14.0,0.127,0.0,0.0,1.0,0.0,100.0,App,Lagos-Island,0.27727155474531606,Low,894.3022613256221,High failed-transaction rate (12.7%),Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000059,0
65.0,56.0,2.0,0.0,80503.74,83409.48,9.6,7.0,10.0,0.0,0.09,0.0,0.0,0.0,0.0,250.0,App,Other,0.17689797173513755,Low,2188.74195887063,High failed-transaction rate (9.0%),Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000060,0
56.0,94.0,1.0,1.0,124136.1,46941.71,31.9,7.0,9.0,1.0,0.12,1.0,0.0,2.0,0.0,0.0,Internet,Other,0.3100298444924232,Low,2138.3327628771067,"High failed-transaction rate (12.0%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000061,0
37.0,45.0,1.0,1.0,109263.47,32051.84,15.0,9.0,,1.0,0.091,0.0,0.0,,0.0,100.0,USSD,Lagos-Mainland,0.11827611545475718,Low,-552.258217905649,"High failed-transaction rate (9.1%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000062,0
68.0,8.0,1.0,1.0,39801.81,150317.1,3.0,9.0,8.0,7.0,0.121,0.0,0.0,1.0,0.0,100.0,Internet,Lagos-Mainland,0.15239596854518578,Low,4226.930010850887,"High failed-transaction rate (12.1%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,No contact,"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000063,0
39.0,45.0,1.0,1.0,140985.14,120499.86,15.3,5.0,7.0,24.0,0.15,1.0,0.0,0.0,0.0,0.0,App,Lagos-Island,0.6086678871089592,High,16836.09879578135,"High failed-transaction rate (15.0%), Inactivity (24 days since last txn), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000064,0
,31.0,3.0,1.0,198393.61,18209.04,19.2,13.0,8.0,0.0,0.361,0.0,0.0,2.0,0.0,0.0,App,Lagos-Mainland,0.22304641550897952,Low,-484.6347245350928,High failed-transaction rate (36.1%),Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000065,1
65.0,46.0,1.0,0.0,108473.53,169085.35,17.5,8.0,9.0,19.0,0.155,0.0,0.0,1.0,0.0,500.0,App,Lagos-Island,0.5455494997549959,High,21561.1070270996,"High failed-transaction rate (15.5%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000066,0
37.0,28.0,1.0,1.0,50535.13,289267.97,16.9,7.0,10.0,12.0,0.158,0.0,0.0,2.0,0.0,250.0,App,Lagos-Island,0.3842592821519787,Medium,26288.475625440024,"High failed-transaction rate (15.8%), Single-product relationship",Assisted support: service-reliability check + fee goodwill review,FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000067,0
21.0,18.0,1.0,0.0,75534.45,57478.9,12.0,11.0,8.0,8.0,0.295,1.0,1.0,1.0,0.0,500.0,App,Lagos-Island,0.8383146250902789,Critical,10546.350626025407,"Unresolved service issues (1 open), High failed-transaction rate (29.5%), Single-product relationship","Complaint recovery: assign owner, resolve + follow-up call within 48h",FLAG FOR REVIEW (human approval required),"Suppress if: opted out, complaint in escalation, contacted <14d, fraud under review",SYN-000068,0
