customer_id,churn_probability,risk_band,expected_retention_value,recommended_action,reason_codes,decision,churn_30d
SYN-000019,0.9753296527529298,Critical,3938.9501918180313,"Complaint recovery: assign owner, resolve + follow-up call within 48h",Unresolved service issues (3 open),FLAG FOR REVIEW (human approval required),1
SYN-002765,0.9750971607456516,Critical,1952.7995442571373,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (23.9%), Inactivity (26 days since last txn)",FLAG FOR REVIEW (human approval required),0
SYN-003066,0.9747390122765116,Critical,29678.672179747442,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (1 open), High failed-transaction rate (50.3%), Downtime exposure (3 days)",FLAG FOR REVIEW (human approval required),0
SYN-002220,0.9743986534713022,Critical,20990.039292848553,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (25.0%), Downtime exposure (4 days)",FLAG FOR REVIEW (human approval required),1
SYN-004528,0.9726674200926992,Critical,15235.649975064127,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (10.1%), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-005555,0.9720843768658718,Critical,27596.811111467196,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (8.7%), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-005939,0.9719017148880486,Critical,23811.88024571556,"Complaint recovery: assign owner, resolve + follow-up call within 48h",Unresolved service issues (3 open),FLAG FOR REVIEW (human approval required),1
SYN-004794,0.9718599722123871,Critical,13314.158742430638,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), Downtime exposure (5 days), Single-product relationship",FLAG FOR REVIEW (human approval required),1
SYN-002293,0.9716480420559286,Critical,22101.46211402418,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (10.7%), Single-product relationship",FLAG FOR REVIEW (human approval required),0
SYN-002240,0.9711066411162829,Critical,14960.276989053818,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (10.4%), Declining engagement (<=2 txns / 30d)",FLAG FOR REVIEW (human approval required),1
SYN-001079,0.9706723466663719,Critical,36870.19980759095,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (3 open), High failed-transaction rate (15.8%)",FLAG FOR REVIEW (human approval required),0
SYN-005766,0.9700282380473152,Critical,11576.945826974666,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (31.2%)",FLAG FOR REVIEW (human approval required),0
SYN-003092,0.9695667010981549,Critical,8280.596206164242,"Complaint recovery: assign owner, resolve + follow-up call within 48h","Unresolved service issues (2 open), High failed-transaction rate (14.9%), Inactivity (27 days since last txn)",FLAG FOR REVIEW (human approval required),0
