Respondent_ID,Valid_Record,Consent,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,CHD1,CHD2,CHD3,CHD4,CHD5,CHD6,CHD7,CHD8,CHD9,CHD10,AIA1,AIA2,AIA3,AIA4,AIA5,AIA6,AIA7,AIA8,PAC1,PAC2,PAC3,PAC4,PAC5,PAC6,PAC7,PAC8,MLU1,MLU2,MLU3,MLU4,MLU5,MLU6,MLU7,MLU8,MLU9,RSO1,RSO2,RSO3,RSO4,RSO5,RSO6,RSO7,RSO8,CRE1,CRE2,CRE3,CRE4,CRE5,CRE6,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,CHD_Mean,AIA_Mean,PAC_Mean,MLU_Mean,RSO_Mean,CRE_Mean,IMP_Mean
R011,Yes,Yes,Female,25-34,Other,Commercial bank,Customer Experience/Service,Less than 2,Yes,1,No,Yes,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.3,2.75,3.25,2.0,3.75,3.8333333333333335,2.75
R012,Yes,Yes,Female,45-54,Bachelor/HND,Fintech/payment provider,Customer Experience/Service,Less than 2,Yes,2,Yes,Yes,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,3.0,,4.0,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.6,3.5,3.875,3.25,3.857142857142857,3.6666666666666665,3.875
R013,Yes,Yes,Male,35-44,Master's,Insurance/investment/other licensed financial institution,Data/Analytics/AI,11-15,Yes,4,Yes,Yes,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,,2.0,3.0,3.0,2.5,1.2857142857142858,1.875,3.111111111111111,2.625,3.3333333333333335,2.4285714285714284
R014,Yes,Yes,Male,18-24,Diploma/OND/NCE,Commercial bank,Digital Banking/Product,6-10,Yes,4,Yes,Yes,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,3.75,4.875,2.4444444444444446,4.0,4.4,4.5
R015,Yes,Yes,Male,35-44,Bachelor/HND,Commercial bank,Customer Experience/Service,6-10,Yes,2,Yes,Yes,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,5.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,1.7,3.75,4.0,3.4444444444444446,3.25,2.0,1.5714285714285714
R016,Yes,Yes,Prefer not to say,25-34,Bachelor/HND,Microfinance bank,Customer Experience/Service,6-10,Yes,2,Yes,Yes,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,,4.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,,3.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,,4.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.4444444444444446,2.75,2.625,3.375,3.4285714285714284,4.0,3.875
R017,Yes,Yes,Male,25-34,Master's,Insurance/investment/other licensed financial institution,IT/Technology,2-5,Yes,0,No,Yes,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,,2.1,1.0,1.1428571428571428,1.4444444444444444,1.5,2.8,2.5714285714285716
R018,Yes,Yes,Male,35-44,Bachelor/HND,Fintech/payment provider,Relationship/Marketing,2-5,Yes,1,Do not know,Yes,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.3,3.5,2.5,3.111111111111111,1.875,2.8333333333333335,1.75
R019,Yes,Yes,Male,18-24,Bachelor/HND,Insurance/investment/other licensed financial institution,Customer Experience/Service,Less than 2,Yes,4,Yes,Yes,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.8,3.5714285714285716,3.0,3.2222222222222223,3.2857142857142856,3.0,2.75
R020,Yes,Yes,Male,55 or above,Bachelor/HND,Microfinance bank,Digital Banking/Product,6-10,Yes,2,Yes,Yes,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.7,1.625,2.142857142857143,2.875,2.25,3.6,3.125
R021,Yes,Yes,Male,25-34,Bachelor/HND,Merchant bank,Digital Banking/Product,11-15,Yes,3,Yes,Yes,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,,3.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.3,3.875,2.857142857142857,4.444444444444445,3.875,3.6666666666666665,4.125
R022,Yes,Yes,Female,35-44,Bachelor/HND,Commercial bank,Risk/Compliance,6-10,Yes,3,Yes,Yes,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.9,3.0,2.875,2.2222222222222223,2.5,3.0,3.125
R023,Yes,Yes,Female,25-34,Master's,Commercial bank,Digital Banking/Product,Less than 2,Yes,0,No,Yes,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,,1.0,3.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,2.1,2.375,3.125,2.4444444444444446,2.875,1.4,3.5
R024,Yes,Yes,Male,35-44,Master's,Fintech/payment provider,Other,2-5,Yes,1,Do not know,Yes,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.9,2.0,2.75,2.5555555555555554,1.8571428571428572,2.5,3.25
R025,Yes,Yes,Male,25-34,Master's,Commercial bank,Digital Banking/Product,6-10,Yes,1,Yes,Yes,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.75,2.5,2.888888888888889,2.5,2.0,2.5
R026,Yes,Yes,Female,25-34,Bachelor/HND,Digital bank/neobank,Management/Strategy,Less than 2,Yes,3,Yes,Yes,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.7,4.125,4.5,1.8888888888888888,4.375,4.0,3.375
R027,Yes,Yes,Female,35-44,Master's,Digital bank/neobank,Digital Banking/Product,11-15,Yes,3,No,Yes,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,1.625,2.4285714285714284,2.6666666666666665,1.875,3.5,3.125
R028,Yes,Yes,Female,25-34,Master's,Digital bank/neobank,Digital Banking/Product,2-5,Yes,1,No,Yes,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,,,2.0,2.0,3.0,3.5,2.625,1.875,2.111111111111111,3.0,3.5,
R029,Yes,Yes,Male,25-34,Bachelor/HND,Fintech/payment provider,Digital Banking/Product,2-5,Yes,1,No,Yes,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,,4.0,3.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,2.8,2.75,4.375,3.111111111111111,3.125,2.8,4.125
R030,Yes,Yes,Male,18-24,Bachelor/HND,Fintech/payment provider,Customer Experience/Service,2-5,Yes,2,Yes,Yes,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,,2.0,3.0,,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,,2.7777777777777777,3.25,3.6666666666666665,2.25
R031,Yes,Yes,Male,35-44,Bachelor/HND,Fintech/payment provider,IT/Technology,Less than 2,Yes,2,Yes,Yes,2.0,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.5555555555555556,3.125,2.875,3.375,2.625,3.1666666666666665,2.125
R032,Yes,Yes,Female,18-24,Master's,Commercial bank,IT/Technology,11-15,Yes,2,No,Yes,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.7,2.7142857142857144,3.625,3.4444444444444446,2.75,2.8333333333333335,2.375
R033,Yes,Yes,Prefer not to say,35-44,Master's,Microfinance bank,Data/Analytics/AI,6-10,Yes,2,Yes,Yes,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.3,2.625,3.75,2.5555555555555554,2.625,3.0,2.625
R034,Yes,Yes,Male,25-34,Diploma/OND/NCE,Commercial bank,Data/Analytics/AI,6-10,Yes,4,No,Yes,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.7,2.75,3.25,3.0,3.0,2.6666666666666665,1.25
R035,Yes,Yes,Female,25-34,Bachelor/HND,Insurance/investment/other licensed financial institution,Digital Banking/Product,2-5,Yes,1,No,Yes,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,,,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,,3.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,,3.25,2.625,2.5,2.4,1.875
R036,Yes,Yes,Female,25-34,Master's,Digital bank/neobank,IT/Technology,2-5,Yes,2,Yes,Yes,3.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,2.7,2.125,2.375,3.2222222222222223,2.75,3.1666666666666665,4.5
R037,Yes,Yes,Male,25-34,Bachelor/HND,Microfinance bank,Customer Experience/Service,16 or more,Yes,3,Yes,Yes,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,,2.0,3.0,4.0,3.0,3.6,3.2857142857142856,3.125,3.5555555555555554,3.0,3.1666666666666665,3.142857142857143
R038,Yes,Yes,Male,25-34,Diploma/OND/NCE,Fintech/payment provider,IT/Technology,2-5,Yes,1,Yes,Yes,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,,4.0,5.0,5.0,5.0,4.0,3.0,4.0,2.125,2.375,2.3333333333333335,1.75,2.6666666666666665,4.285714285714286
R039,Yes,Yes,Female,25-34,Postgraduate Diploma,Fintech/payment provider,Customer Experience/Service,11-15,Yes,4,Yes,Yes,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.9,2.75,3.625,3.25,4.125,2.8333333333333335,2.25
R040,Yes,Yes,Male,25-34,Bachelor/HND,Commercial bank,Management/Strategy,2-5,Yes,3,Yes,Yes,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.5,4.125,3.25,3.2222222222222223,3.125,2.3333333333333335,2.125
